edgeLabel,locationA,locationB,actualDistance,Contributer,
FortWayneIN_tofrom_DetroitMI,FortWayneIN,DetroitMI,162,Id22,
FortWayneIN_tofrom_AnnArborMI,FortWayneIN,AnnArborMI,142,Id22,
FortWayneIN_tofrom_ToledoOH,FortWayneIN,ToledoOH,102,Id22,
DetroitMI_tofrom_ToledoOH,DetroitMI,ToledoOH,59,Id22,
DetroitMI_tofrom_ClevelandOH,DetroitMI,ClevelandOH,170,Id22,
DetroitMI_tofrom_AnnArborMI,DetroitMI,AnnArborMI,44,Id22,
DetroitMI_tofrom_ColumbusOH_on_I75S,DetroitMI,ColumbusOH,199,Id22,
ToledoOH_tofrom_ColumbusOH_on_I75S,ToledoOH,ColumbusOH,138,Id22,
ToledoOH_tofrom_ClevelandOH,ToledoOH,ClevelandOH,114,Id22,
AnnArborMI_tofrom_ClevelandOH,AnnArborMI,ClevelandOH,168,Id22,
AnnArborMI_tofrom_ColumbusOH,AnnArborMI,ColumbusOH,189,Id22,
Columbus_tofrom_Cleveland,ColumbusOH,ClevelandOH,143,Id0,
ChicagoIL_tofrom_ToledoOH,ChicagoIL,ToledoOH,161,Id22,
IndianapolisIN_tofrom_FortWayneIN,IndianapolisIN,FortWayneIN,125,Id22,
ChicagoIL_tofrom_FortWayneIN,ChicagoIL,FortWayneIN,163,,
Chicago_tofrom_Indianapolis,ChicagoIL,IndianapolisIN,183,Id0,
Indianapolis_tofrom_Columbus,IndianapolisIN,ColumbusOH,176,Id0,